id,name,url,match_logs,logs
11be6e35,Morice Michael,https://fbref.com/en/players/11be6e35/Morice-Michael,https://fbref.com/en/players/11be6e35/matchlogs/2021-2022/summary/Morice-Michael-Match-Logs,{'2021-2022': '2021-2022'}
b3d2dd52,Neofytos Michael,https://fbref.com/en/players/b3d2dd52/Neofytos-Michael,https://fbref.com/en/players/b3d2dd52/matchlogs/2021-2022/summary/Neofytos-Michael-Match-Logs,"{'2018-2019': '2018-2019', '2019-2020': '2019-2020', 'National Team': 'nat_tm'}"
52ee399e,Antria Michail,https://fbref.com/en/players/52ee399e/Antria-Michail,https://fbref.com/en/players/52ee399e/matchlogs/2021-2022/summary/Antria-Michail-Match-Logs,"{'2019-2020': '2019-2020', 'National Team': 'nat_tm'}"
fe4a91f4,Eirini Michail,https://fbref.com/en/players/fe4a91f4/Eirini-Michail,https://fbref.com/en/players/fe4a91f4/matchlogs/2021-2022/summary/Eirini-Michail-Match-Logs,{'National Team': 'nat_tm'}
8cc9ef90,Giannis Michailidis,https://fbref.com/en/players/8cc9ef90/Giannis-Michailidis,https://fbref.com/en/players/8cc9ef90/matchlogs/2021-2022/summary/Giannis-Michailidis-Match-Logs,"{'2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022', 'National Team': 'nat_tm'}"
d2047a08,Konrad Michalak,https://fbref.com/en/players/d2047a08/Konrad-Michalak,https://fbref.com/en/players/d2047a08/matchlogs/2021-2022/summary/Konrad-Michalak-Match-Logs,"{'2016-2017': '2016-2017', '2017-2018': '2017-2018', '2018-2019': '2018-2019', '2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
8deca90b,Gabriel Michalek,https://fbref.com/en/players/8deca90b/Gabriel-Michalek,https://fbref.com/en/players/8deca90b/matchlogs/2021-2022/summary/Gabriel-Michalek-Match-Logs,"{'2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
aab40762,Damian Michalski,https://fbref.com/en/players/aab40762/Damian-Michalski,https://fbref.com/en/players/aab40762/matchlogs/2021-2022/summary/Damian-Michalski-Match-Logs,"{'2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
8208cc8c,Kacper Michalski,https://fbref.com/en/players/8208cc8c/Kacper-Michalski,https://fbref.com/en/players/8208cc8c/matchlogs/2021-2022/summary/Kacper-Michalski-Match-Logs,"{'2018-2019': '2018-2019', '2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
6298c710,Toby Michalski,https://fbref.com/en/players/6298c710/Toby-Michalski,https://fbref.com/en/players/6298c710/matchlogs/2021-2022/summary/Toby-Michalski-Match-Logs,"{'2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
418f8f61,Michel,https://fbref.com/en/players/418f8f61/Michel,https://fbref.com/en/players/418f8f61/matchlogs/2021-2022/summary/Michel-Match-Logs,"{'2008-2009': '2008-2009', '2009-2010': '2009-2010', '2010-2011': '2010-2011', '2012-2013': '2012-2013', '2013-2014': '2013-2014', '2014-2015': '2014-2015', '2015': '2015', '2015-2016': '2015-2016', '2016-2017': '2016-2017', '2017-2018': '2017-2018', '2018-2019': '2018-2019', '2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
67f8ce83,Alexander Michel,https://fbref.com/en/players/67f8ce83/Alexander-Michel,https://fbref.com/en/players/67f8ce83/matchlogs/2021-2022/summary/Alexander-Michel-Match-Logs,"{'2014': '2014', '2015': '2015', '2016': '2016', '2017': '2017', '2018': '2018', 'National Team': 'nat_tm'}"
303c9f83,Falko Michel,https://fbref.com/en/players/303c9f83/Falko-Michel,https://fbref.com/en/players/303c9f83/matchlogs/2021-2022/summary/Falko-Michel-Match-Logs,"{'2017-2018': '2017-2018', '2018-2019': '2018-2019', '2019-2020': '2019-2020', '2021-2022': '2021-2022'}"
1621858d,Felix Michel,https://fbref.com/en/players/1621858d/Felix-Michel,https://fbref.com/en/players/1621858d/matchlogs/2021-2022/summary/Felix-Michel-Match-Logs,"{'2014': '2014', '2015': '2015', '2016': '2016', '2018': '2018', '2019': '2019', '2019-2020': '2019-2020', '2020': '2020', '2021': '2021', 'National Team': 'nat_tm'}"
67388948,Florian Michel,https://fbref.com/en/players/67388948/Florian-Michel,https://fbref.com/en/players/67388948/matchlogs/2021-2022/summary/Florian-Michel-Match-Logs,"{'2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
1e274a0a,Sven Michel,https://fbref.com/en/players/1e274a0a/Sven-Michel,https://fbref.com/en/players/1e274a0a/matchlogs/2021-2022/summary/Sven-Michel-Match-Logs,"{'2014-2015': '2014-2015', '2015-2016': '2015-2016', '2016-2017': '2016-2017', '2017-2018': '2017-2018', '2018-2019': '2018-2019', '2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
2bdb1b5b,Lukas Michelbrink,https://fbref.com/en/players/2bdb1b5b/Lukas-Michelbrink,https://fbref.com/en/players/2bdb1b5b/matchlogs/2021-2022/summary/Lukas-Michelbrink-Match-Logs,{'2021-2022': '2021-2022'}
